Center_X,Center_Y
870.2556469428868,121.11123488334724
312.022226108088,120.58149877533933
871.1017018339307,688.5965413223737
121.64796667257,121.5218956249375
121.02451528134218,310.2000156365447
871.2428485407787,869.2174651108683
870.4237305454169,499.12562286663353
311.7119206216402,869.002755709353
690.8185691950507,120.05921946906726
121.30037946789125,499.4292440611171
502.0443409287751,120.06719823291577
500.50354589319545,868.8479505826995
870.4685536154349,309.66979388125895
120.35174609364209,868.3906130090598
691.3931661707859,869.4701560712168
121.21301036307393,689.5283578604091
