Measured_data_x,Measured_data_y,Center_X,Center_Y,X_diff,Y_diff
870.5,120.0,870.2556469428868,121.11123488334724,0.24435305711324418,-1.1112348833472367
311.0,121.0,312.022226108088,120.58149877533933,-1.0222261080879775,0.4185012246606732
871.0,688.5,871.1017018339307,688.5965413223737,-0.10170183393074694,-0.09654132237369595
120.5,121.0,121.64796667257,121.5218956249375,-1.147966672570007,-0.5218956249374997
121.0,309.5,121.02451528134218,310.2000156365447,-0.0245152813421754,-0.7000156365447197
871.5,870.0,871.2428485407787,869.2174651108683,0.2571514592212907,0.782534889131739
870.5,498.75,870.4237305454169,499.12562286663353,0.0762694545830982,-0.3756228666335346
311.0,869.5,311.7119206216402,869.002755709353,-0.7119206216402176,0.4972442906470178
690.5,120.0,690.8185691950507,120.05921946906726,-0.31856919505071346,-0.0592194690672585
121.0,499.5,121.30037946789125,499.4292440611171,-0.30037946789124703,0.07075593888288267
500.5,118.5,502.0443409287751,120.06719823291576,-1.5443409287751138,-1.5671982329157572
500.5,869.0,500.50354589319545,868.8479505826995,-0.0035458931954508444,0.1520494173005318
870.5,309.5,870.4685536154349,309.6697938812589,0.03144638456512894,-0.16979388125889727
120.5,868.5,120.35174609364208,868.3906130090598,0.14825390635792246,0.10938699094015192
691.5,869.5,691.3931661707859,869.4701560712168,0.10683382921411066,0.029843928783179763
121.0,689.5,121.21301036307392,689.5283578604091,-0.21301036307391996,-0.02835786040907351
