epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,167.17,0.61761,0.34792,0.80057,0.98805,0.9711,0.98351,0.83386,0.63726,0.34262,0.79871,0.0015941,0.0015941,0.0015941
43,169.894,0.61834,0.34949,0.80307,0.99917,0.95954,0.97578,0.85888,0.57192,0.34852,0.79283,0.0015842,0.0015842,0.0015842
44,171.903,0.60598,0.34844,0.79357,0.99408,0.97014,0.98042,0.86286,0.5657,0.33946,0.79269,0.0015743,0.0015743,0.0015743
45,174.383,0.59749,0.34368,0.79736,1,0.95751,0.96314,0.84683,0.56425,0.32712,0.79134,0.0015644,0.0015644,0.0015644
46,176.888,0.58722,0.33667,0.79485,1,0.95849,0.96893,0.83999,0.5941,0.3239,0.79772,0.0015545,0.0015545,0.0015545
47,179.38,0.58677,0.33842,0.79741,1,0.95884,0.97217,0.84438,0.60467,0.33714,0.79648,0.0015446,0.0015446,0.0015446
48,181.887,0.59211,0.33291,0.79962,1,0.96397,0.97998,0.85687,0.56584,0.31715,0.79246,0.0015347,0.0015347,0.0015347
49,184.51,0.58022,0.32595,0.79618,0.99305,0.96532,0.97915,0.86625,0.53646,0.31455,0.78878,0.0015248,0.0015248,0.0015248
50,186.923,0.57625,0.332,0.79631,0.9992,0.95954,0.96696,0.85297,0.55626,0.30672,0.7903,0.0015149,0.0015149,0.0015149
51,189.211,0.58138,0.3263,0.79223,0.99861,0.95954,0.97416,0.85251,0.58089,0.31606,0.793,0.001505,0.001505,0.001505
52,192.031,0.59003,0.33106,0.79888,0.99865,0.95954,0.98058,0.84774,0.57959,0.31959,0.79289,0.0014951,0.0014951,0.0014951
53,195.015,0.57733,0.33079,0.79131,0.99929,0.95954,0.97334,0.85066,0.56373,0.31145,0.79128,0.0014852,0.0014852,0.0014852
54,197.495,0.56721,0.31935,0.7944,0.99912,0.95954,0.97786,0.86029,0.56483,0.30595,0.79284,0.0014753,0.0014753,0.0014753
55,200.105,0.58376,0.34212,0.79187,0.99914,0.95954,0.98311,0.86135,0.56005,0.31749,0.79036,0.0014654,0.0014654,0.0014654
56,203.169,0.59299,0.34024,0.79381,0.99936,0.95954,0.97706,0.85127,0.5631,0.34612,0.79497,0.0014555,0.0014555,0.0014555
57,205.947,0.59991,0.3351,0.79577,1,0.95925,0.98062,0.86496,0.54349,0.31394,0.7907,0.0014456,0.0014456,0.0014456
58,208.372,0.58058,0.32621,0.79091,0.9986,0.95954,0.96819,0.85479,0.5432,0.3123,0.79252,0.0014357,0.0014357,0.0014357
59,210.97,0.5903,0.33039,0.80188,0.99902,0.95954,0.96717,0.84446,0.58057,0.31829,0.7949,0.0014258,0.0014258,0.0014258
